name,party,geoid20
Robin Kelly,D,17001003002
Chuy García,D,17019COL000
Mike Quigley,D,17027008003
Sean Casten,D,17031004014
Marie Newman,D,17031010014
Danny K. Davis,D,17031022003
Raja Krishnamoorthi,D,17031030020
Jan Schakowsky,D,17031043036
Brad Schneider,D,17031780046
Bill Foster,D,17031950012
Mike Bost,R,17043002064
Lauren Underwood,D,17043006067
Mary Miller,R,1707900WH01
Rodney Davis,R,170890AC706
Darin LaHood,R,1710900MC09
