year,state,district,name,party,votes,incumbent
2022,Illinois,5,Mike Quigley,D,162706,True
2022,Illinois,5,Tom Hanson,R,73331,False
2022,Illinois,5,Jerico Matias Cruz,Independent,3920,False
2022,Illinois,11,Bill Foster,D,149172,True
2022,Illinois,11,Catalina Lauf,R,115069,False
2022,Illinois,11,Donald Wagner,Independent,0,False
2022,Illinois,17,Eric Sorensen,D,119450,False
2022,Illinois,17,Esther Joy King,R,111378,False
2022,Illinois,2,Robin Kelly,D,127650,True
2022,Illinois,2,Thomas Lynch,R,60834,False
2022,Illinois,15,Mary Miller,R,124494,True
2022,Illinois,15,Paul Lange,D,52098,False
2022,Illinois,6,Sean Casten,D,150496,True
2022,Illinois,6,Keith Pekau,R,126351,False
2022,Illinois,6,Arthur Jones,Independent,12,False
2022,Illinois,14,Lauren Underwood,D,124628,True
2022,Illinois,14,Scott Gryder,R,107247,False
2022,Illinois,9,Jan Schakowsky,D,144748,True
2022,Illinois,9,Max Rice,R,56055,False
2022,Illinois,3,Delia Ramirez,D,108570,False
2022,Illinois,3,Justin Burau,R,54147,False
2022,Illinois,16,Darin LaHood,R,158795,True
2022,Illinois,16,Elizabeth Haderlein,D,79705,False
2020,New York,12,Carolyn B. Maloney,D,265172,True
2020,New York,12,Cano,R / Conservative Party,53061,False
2020,New York,12,Steven Kolln,L,4015,False
2020,New York,12,,Other,773,False
2020,New York,17,Mondaire Jones,D / Working Families Party,197353,False
2020,New York,17,Maureen McArdle Schulman,R,117307,False
2020,New York,17,Yehudis Gottesfeld,Conservative Party,8887,False
2020,New York,17,Joshua Eisen,ECL Party,6363,False
2020,New York,17,Michael Parietti,Serve America Movement Party,2745,False
2020,New York,17,,Other,197,False
2020,New York,15,Ritchie Torres,D,169533,False
2020,New York,15,Patrick Delices,R / Conservative Party,21221,False
2020,New York,15,,Other,283,False
2020,New York,5,Gregory W. Meeks,D,229125,True
2020,New York,5,,Other,1554,False
2020,New York,27,Christopher Jacobs,R / Conservative Party / Independence Party,229044,True
2020,New York,27,Nate McMurray,D / Working Families Party,149559,False
2020,New York,27,Duane Whitmer,L,4884,False
2020,New York,27,,Other,121,False
2020,New York,7,Nydia Velazquez,D / Working Families Party,191073,True
2020,New York,7,Brian Kelly,R / Conservative Party,32520,False
2020,New York,7,Gilbert Midonnet,L,1522,False
2020,New York,7,,Other,338,False
2020,New York,3,Tom Suozzi,D / Working Families Party / Independence Party,208412,True
2020,New York,3,Santos,R / Conservative Party,161907,False
2020,New York,3,Howard Rabin,L,2154,False
2020,New York,3,,Other,139,False
2020,New York,22,Claudia Tenney,R / Conservative Party,156098,False
2020,New York,22,Anthony Brindisi,D / Working Families Party / Independence Party,155989,True
2020,New York,22,Keith Price,L,6780,False
2020,New York,22,James Desira,Independent,0,False
2020,New York,22,,Other,771,False
2020,New York,16,Jamaal Bowman,D,218471,False
2020,New York,16,Patrick McManus,Conservative Party,41085,False
2020,New York,16,,Other,414,False
2020,New York,4,Kathleen Rice,D,199762,True
2020,New York,4,Douglas Tuman,R / Conservative Party,153007,False
2020,New York,4,Joseph R. Naham,G,3024,False
2020,New York,4,,Other,119,False
2020,New York,1,Lee Zeldin,R / Conservative Party / Independence Party,199763,True
2020,New York,1,Nancy Goroff,D / Working Families Party,157484,False
2020,New York,1,,Other,99,False
2020,New York,24,John Katko,R / Conservative Party / Independence Party,182567,True
2020,New York,24,Dana Balter,D,147638,False
2020,New York,24,Steven Williams,Working Families Party,13232,False
2020,New York,24,,Other,187,False
2020,New York,25,Joseph Morelle,D / Working Families Party / Independence Party,206396,True
2020,New York,25,George Mitris,R / Conservative Party,136198,False
2020,New York,25,Kevin Wilson,L,5325,False
2020,New York,25,,Other,179,False
2020,New York,6,Grace Meng,D / Working Families Party,158862,True
2020,New York,6,Thomas Zmich,R / L / Conservative Party / Save Our City Party,74829,False
2020,New York,6,,Other,223,False
2020,New York,2,Andrew Garbarino,R / Conservative Party / L / Serve America Movement Party,177353,False
2020,New York,2,Jackie Gordon,D / Working Families Party / Independence Party,154123,False
2020,New York,2,Harry Burger,G,3446,False
2020,New York,2,,Other,90,False
2020,New York,21,Elise Stefanik,R / Conservative Party / Independence Party,188649,True
2020,New York,21,Tedra Cobb,D / Working Families Party,131992,False
2020,New York,21,,Other,138,False
2020,New York,26,Brian Higgins,D / Working Families Party / Serve America Movement Party,223276,True
2020,New York,26, Sr.,R,91687,False
2020,New York,26,Mike Raleigh,G,4628,False
2020,New York,26,,Other,244,False
2020,New York,8,Hakeem Jeffries,D / Working Families Party,234933,True
2020,New York,8,Garfield Wallace,R / Conservative Party,42007,False
2020,New York,8,,Other,229,False
2020,New York,13,Adriano Espaillat,D / Working Families Party,231841,True
2020,New York,13,Lovelynn Gwinn,R,19829,False
2020,New York,13,Perry,Conservative Party,3295,False
2020,New York,13,,Other,405,False
2020,New York,9,Yvette D. Clarke,D / Working Families Party,230221,True
2020,New York,9,Pierre,R / Conservative Party,43950,False
2020,New York,9,Gary Popkin,L,1644,False
2020,New York,9,Azumah,Serve America Movement Party,1052,False
2020,New York,9,,Other,381,False
2020,New York,14,Cortez,D,152661,True
2020,New York,14,John Cummings,R / Conservative Party,58440,False
2020,New York,14,Cabrera,Serve America Movement Party,2000,False
2020,New York,14,Antoine Tucker,R,0,False
2020,New York,14,,Other,222,False
2020,New York,11,Nicole Malliotakis,R / Conservative Party,155608,False
2020,New York,11,Max Rose,D / Independence Party,137198,True
2020,New York,11,,Other,508,False
2020,New York,19,Antonio Delgado,D / Working Families Party / Serve America Movement Party,192100,True
2020,New York,19,Kyle Van De Water,R,151475,False
2020,New York,19,Victoria Alexander,L,4224,False
2020,New York,19,Steven Greenfield,G,2799,False
2020,New York,19,,Other,2173,False
2020,New York,23,Tom Reed,R / Conservative Party / Independence Party,181060,True
2020,New York,23,Tracy Mitrano,D / Working Families Party,129014,False
2020,New York,23,Andrew Kolstee,L,3650,False
2020,New York,23,Scott Noren,D,0,False
2020,New York,23,,Other,118,False
2020,New York,20,Paul Tonko,D / Working Families Party / Independence Party,219705,True
2020,New York,20,Elizabeth Joy,R / Conservative Party / Serve America Movement Party,139446,False
2020,New York,20,,Other,191,False
2020,New York,10,Jerrold Nadler,Working Families Party / D,206310,True
2020,New York,10,Cathy Bernstein,R / Conservative Party,66889,False
2020,New York,10,Michael Madrid,L,3370,False
2020,New York,10,,Other,407,False
2020,New York,18,Sean Maloney,D / Working Families Party / Independence Party,187169,True
2020,New York,18,Chele Farley,R / Conservative Party,145098,False
2020,New York,18,Scott Smith,Serve America Movement Party / L,3162,False
2020,New York,18,,Other,116,False
2020,Georgia,11,Barry Loudermilk,R,245259,True
2020,Georgia,11,Dana Barrett,D,160623,False
2020,Georgia,13,David Scott,D,279045,True
2020,Georgia,13,Becky E. Hites,R,81476,False
2020,Georgia,13,Martin Cowen,L,0,False
2020,Georgia,1,Earl Carter,R,189457,True
2020,Georgia,1,Joyce Marie Griggs,D,135238,False
2020,Georgia,12,Rick Allen,R,181038,True
2020,Georgia,12,Liz Johnson,D,129061,False
2020,Georgia,7,Carolyn Bourdeaux,D,190900,False
2020,Georgia,7,Rich McCormick,R,180564,False
2020,Georgia,8,Austin Scott,R,198701,True
2020,Georgia,8,Lindsay Holliday,D,109264,False
2020,Georgia,8,James Cooper III,G,48,False
2020,Georgia,3,Drew Ferguson,R,241526,True
2020,Georgia,3,Val Almonord,D,129792,False
2020,Georgia,4,Hank Johnson,D,278906,True
2020,Georgia,4,Johsie Cruz,R,69393,False
2020,Georgia,14,Marjorie Taylor Greene,R,229827,False
2020,Georgia,14,Kevin Van Ausdal,D,77798,False
2020,Georgia,5,Nikema Williams,D,301857,False
2020,Georgia,5,Angela Stanton King,R,52646,False
2020,Georgia,6,Lucy McBath,D,216775,True
2020,Georgia,6,Karen Handel,R,180329,False
2020,Georgia,2,Sanford Bishop Jr.,D,161397,True
2020,Georgia,2,Donald Cole,R,111620,False
2020,Georgia,2,JaMelle Hill,Independent,17,False
2020,Georgia,10,Jody Hice,R,235810,True
2020,Georgia,10,Green,D,142636,False
2020,Georgia,9,Andrew Clyde,R,292750,False
2020,Georgia,9,Devin Pandy,D,79797,False
2020,Illinois,6,Sean Casten,D,213777,True
2020,Illinois,6,Jeanne M. Ives,R,183891,False
2020,Illinois,6,Bill Redpath,L,7079,False
2020,Illinois,2,Robin Kelly,D,234896,True
2020,Illinois,2,Theresa Raborn,R,63142,False
2020,Illinois,13,Rodney Davis,R,181373,True
2020,Illinois,13,Betsy Londrigan,D,151648,False
2020,Illinois,4,Jesus Garcia,D,187219,True
2020,Illinois,4,Jesus Solorio,R,35518,False
2020,Illinois,17,Cheri Bustos,D,156011,True
2020,Illinois,17,Esther Joy King,R,143863,False
2020,Illinois,17,General Parker,Independent,21,False
2020,Illinois,15,Mary Miller,R,244947,False
2020,Illinois,15,Erika Weaver,D,88559,False
2020,Illinois,14,Lauren Underwood,D,203209,True
2020,Illinois,14,Jim Oberweis,R,197835,False
2020,Illinois,14,Joseph Monack,Independent,8,False
2020,Illinois,11,Bill Foster,D,194557,True
2020,Illinois,11,Rick Laib,R,112807,False
2020,Illinois,11,Jon Harlson,Independent,13,False
2020,Illinois,9,Jan Schakowsky,D,262045,True
2020,Illinois,9,Sargis Sangari,R,107125,False
2020,Illinois,8,Raja Krishnamoorthi,D,186251,True
2020,Illinois,8,Preston Nelson,L,68327,False
2020,Illinois,16,Adam Kinzinger,R,218839,True
2020,Illinois,16,Dani Brzozowski,D,119313,False
2020,Illinois,16,Branden McCullough,Independent,4,False
2020,Illinois,16,Roy Jones,Independent,3,False
2020,Illinois,5,Mike Quigley,D,255661,True
2020,Illinois,5,Tom Hanson,R,96200,False
2020,Illinois,5,Thomas Wilda,G,9408,False
2020,Illinois,5,Frank Rowder,Independent,2,False
2020,Illinois,18,Darin LaHood,R,261840,True
2020,Illinois,18,George Petrilli,D,110039,False
2020,Illinois,12,Mike Bost,R,194839,True
2020,Illinois,12,Ray Lenzi,D,127577,False
2020,Illinois,3,Marie Newman,D,172997,False
2020,Illinois,3,Mike Fricilone,R,133851,False
2020,Illinois,10,Brad Schneider,D,202402,True
2020,Illinois,10,Valerie Ramirez Mukherjee,R,114442,False
2020,Illinois,10,Joseph Kopsick,Independent,18,False
2020,Illinois,10,David Rych,Independent,12,False
2020,Illinois,7,Danny K. Davis,D,249383,True
2020,Illinois,7,Craig Cameron,R,41390,False
2020,Illinois,7,Tracy Jennings,Independent,19355,False
2020,Illinois,7,Richard Mayers,Independent,0,False
2020,Illinois,7,Deirdre McCloskey,Independent,0,False
2020,Illinois,1,Bobby Rush,D,239943,True
2020,Illinois,1,Philanise White,R,85027,False
2020,Illinois,1,Ruth Pellegrini,Independent,153,False
