"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"1500000US130019503021","Block Group 1, Census Tract 9503.02, Appling County, Georgia","273","null","128","null","60","null","59","null","21","35","null","null","65","null","97","null","0","null","14","null","0","null","14","null","24","null","30","null","15","27","null","null","0","null","14","null","0","null","14","null","43","58","null","null","34","null","56","null","0","null","14","null","0","null","14","null","11","null","20","null","0","null","14","null","0","14","null","null",
"1500000US130019503022","Block Group 2, Census Tract 9503.02, Appling County, Georgia","430","null","157","null","172","null","143","null","0","14","null","null","0","null","14","null","17","null","27","null","13","null","21","null","22","null","39","null","17","28","null","null","0","null","14","null","21","null","30","null","38","44","null","null","30","null","34","null","72","null","49","null","0","null","14","null","28","null","34","null","0","null","14","null","0","14","null","null",
"1500000US130019504001","Block Group 1, Census Tract 9504, Appling County, Georgia","229","null","77","null","21","null","27","null","3","7","null","null","22","null","20","null","7","null","11","null","8","null","17","null","39","null","42","null","14","20","null","null","5","null","6","null","22","null","21","null","43","48","null","null","23","null","25","null","12","null","10","null","3","null","9","null","2","null","4","null","5","null","9","null","0","14","null","null",
"1500000US130019504002","Block Group 2, Census Tract 9504, Appling County, Georgia","383","null","85","null","37","null","23","null","24","25","null","null","23","null","35","null","12","null","19","null","14","null","17","null","49","null","41","null","0","14","null","null","0","null","14","null","10","null","12","null","43","26","null","null","58","null","37","null","48","null","38","null","12","null","15","null","39","null","30","null","12","null","15","null","2","5","null","null",
"1500000US130019505001","Block Group 1, Census Tract 9505, Appling County, Georgia","306","null","138","null","10","null","15","null","22","28","null","null","46","null","56","null","0","null","14","null","90","null","109","null","6","null","10","null","9","15","null","null","6","null","12","null","0","null","14","null","11","17","null","null","17","null","28","null","23","null","29","null","49","null","59","null","13","null","18","null","4","null","7","null","0","14","null","null",
"1500000US130019505002","Block Group 2, Census Tract 9505, Appling County, Georgia","495","null","121","null","36","null","27","null","29","36","null","null","15","null","16","null","58","null","63","null","53","null","70","null","21","null","27","null","25","27","null","null","8","null","10","null","2","null","3","null","25","25","null","null","38","null","38","null","67","null","44","null","68","null","61","null","5","null","9","null","31","null","54","null","14","17","null","null",
"1500000US130019505003","Block Group 3, Census Tract 9505, Appling County, Georgia","511","null","133","null","44","null","53","null","70","51","null","null","68","null","64","null","20","null","33","null","13","null","21","null","48","null","49","null","0","14","null","null","70","null","75","null","27","null","33","null","34","35","null","null","20","null","15","null","49","null","55","null","27","null","33","null","17","null","22","null","0","null","14","null","4","8","null","null",
"1500000US130039601001","Block Group 1, Census Tract 9601, Atkinson County, Georgia","483","null","114","null","14","null","15","null","11","17","null","null","34","null","31","null","12","null","14","null","153","null","87","null","0","null","14","null","33","27","null","null","28","null","37","null","21","null","29","null","34","29","null","null","30","null","30","null","67","null","57","null","9","null","17","null","0","null","14","null","11","null","19","null","26","23","null","null",
"1500000US130039601002","Block Group 2, Census Tract 9601, Atkinson County, Georgia","449","null","138","null","48","null","35","null","7","12","null","null","43","null","30","null","38","null","31","null","100","null","100","null","56","null","52","null","20","18","null","null","36","null","37","null","32","null","31","null","19","20","null","null","14","null","16","null","9","null","11","null","0","null","14","null","0","null","14","null","27","null","38","null","0","14","null","null",
"1500000US130039602001","Block Group 1, Census Tract 9602, Atkinson County, Georgia","571","null","153","null","28","null","26","null","13","15","null","null","77","null","85","null","26","null","27","null","54","null","67","null","38","null","36","null","13","16","null","null","33","null","40","null","34","null","44","null","56","40","null","null","10","null","16","null","91","null","57","null","24","null","25","null","35","null","33","null","39","null","35","null","0","14","null","null",
