name,party,geoid20
Buddy Carter,R,1306300JB16
Sanford Bishop,D,1306700KE5A
Drew Ferguson,R,130890000CC
Hank Johnson,D,130890000CT
Nikema Williams,D,13135000037
Lucy McBath,D,1305900002B
Austin Scott,R,1311100MORG
Andrew Clyde,R,13021000WA1
Barry Loudermilk,R,13039000003
Rick Allen,R,13071000011
David Scott,D,13073000018
Marjorie Taylor Greene,R,13115000035
